Business Name,Address,Area,Locality,City,State,PIN,Mobile,Rating,Reviews,Services,Latitude,Longitude,Listing ID,Google Place ID,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Category,Subcategory,Search Locality
Caption Packers and Movers Services,"Ground Floor, Shop No 1, Neeljeet, Ekdant CHS Ltd, Plot No 51, Taloja Phase 1, Taloja Panchanand, Sector 5, Taloja, Navi Mumbai, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,9140199868,4.9,139,"moving_company, transportation_service, service, point_of_interest, establishment",19.077275099999998,73.0957028,localisy011971,ChIJ53OPzKzr5zsRvVr_AO2BHvs,photos\localisy24878_1.jpg,,,,,Home Services,Movers & Packers,Taloja
Mr Shifter Domestic Packers and Movers,"Shop No 2, Sector 5, Plot 51, Neeljeet Ekadanta Petali, Phase 1, Taloja, Petali, Taloja Panchanand, Panvel, Navi Mumbai, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,8657373938,4.7,94,"transportation_service, point_of_interest, establishment",19.0836537,73.0948375,localisy011972,ChIJuZdQlwzr5zsRz1o358JJpOY,photos\localisy02506_1.jpg,,,,,Home Services,Movers & Packers,Taloja
Som Packers And Movers (Taloja Branch),"Flat No. 1206, E05, 901 L-2, Sector 21, Taloja Phase 2, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,9136911240,4.9,66,"transportation_service, manufacturer, point_of_interest, establishment",19.067019700000003,73.09770139999999,localisy011973,ChIJ5aF33Hzr5zsRa_dTFbahAds,photos\localisy24887_1.jpg,,,,,Home Services,Movers & Packers,Taloja
Any Time Packers And Movers,"Shop No 2, Arjun residency, RTO Office Road, Sector 26, Taloja Phase 2, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,9253090421,5,2,"manufacturer, service, point_of_interest, establishment",19.0731114,73.1042482,localisy011974,ChIJOWECcqrr5zsRgoRaSAIVz_g,photos\localisy02702_1.jpg,,,,,Home Services,Movers & Packers,Taloja
Unique Express Packers and Movers,"Shop No 2/A, Sector 5, Plot 51 Neeljeet Ekadanta, Petali, Taloja Phase 1, Taloja Panchanand, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,8767757709,5,10,"transportation_service, store, point_of_interest, establishment",19.083503999999998,73.0946687,localisy011975,ChIJH-jOtsHr5zsRqmkew-IsWYs,photos\localisy02703_1.jpg,,,,,Home Services,Movers & Packers,Taloja
Maina Cargo Packers and Movers,"Shop no 1, Sai Bhakti Apartment, plot no 26, near RTO office, Sector 26, Taloja Phase 2, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,9967160391,4.9,25,"moving_company, storage, shipping_service, transportation_service, manufacturer, service, store, point_of_interest, establishment",19.0740937,73.1026718,localisy011976,ChIJvS_iUNTr5zsRrzgHisMHGMg,photos\localisy02519_1.jpg,,,,,Home Services,Movers & Packers,Taloja
Tezz Express Packers and Movers | Best Packers and Movers in Navi Mumbai | house shifting services Navi Mumbai,"Shop No.03, Vista Enclave CHS, Taloja Phase 1, Sector 2, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,8104696840,4.9,19,"moving_company, courier_service, storage, shipping_service, transportation_service, manufacturer, service, point_of_interest, establishment",19.0816889,73.0894607,localisy011977,ChIJbSmqzgrq5zsRBicfI89Vm4M,photos\localisy02705_1.jpg,,,,,Home Services,Movers & Packers,Taloja
Safe Logistic express packers and movers,"0080, Swap Sagr, Taloja, Navi Mumbai, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,7568043872,5,5,"transportation_service, storage, manufacturer, store, point_of_interest, establishment",19.0669282,73.1097523,localisy011978,ChIJV3fdZnzr5zsRbu2VrCoIx0s,photos\localisy02511_1.jpg,,,,,Home Services,Movers & Packers,Taloja
Asha Prime Packers and Movers,"Shop No. 5, Vardhman Plaza , Plot No. 41 Sector 20, Roadpali, Kalamboli, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,9987151935,5,25,"storage, transportation_service, manufacturer, store, point_of_interest, establishment",19.0363705,73.09312609999999,localisy011979,ChIJKyJH3nHp5zsRsxO1EPe75Bk,photos\localisy02482_1.jpg,,,,,Home Services,Movers & Packers,Taloja
Prem Express - Packers and Movers Taloja- Best Packers and movers in Taloja - Kharghar - Navi Mumbai All Over India Service,"Shop no 5, Lake View Plot, 20, Taloja Phase 1 Rd, opposite petali, Petali, Taloja Panchanand, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,,4.4,127,"moving_company, storage, shipping_service, transportation_service, manufacturer, service, store, point_of_interest, establishment",19.0808853,73.09576969999999,localisy011980,ChIJoxOmEJXr5zsRtgaBQOsP-bs,photos\localisy02709_1.jpg,,,,,Home Services,Movers & Packers,Taloja
Aarav Packers and Movers,"Shop no 01, Newa Shalimar Hotel, Mumbra - Panvel Hwy, Navde, Taloja, Navi Mumbai, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,7208127255,5,1,"manufacturer, point_of_interest, establishment",19.0607601,73.0956858,localisy011981,ChIJk2FIyiTr5zsR7ZlrpWapwHs,,,,,,Home Services,Movers & Packers,Taloja
Anjana Packers And Movers Taloje,"Shop No 33, near Taloje Majkur, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,8356909563,5,6,"transportation_service, point_of_interest, establishment",19.0830374,73.0979191,localisy011982,ChIJNQJpGXTr5zsRswMrLJEeHXI,photos\localisy02711_1.jpg,,,,,Home Services,Movers & Packers,Taloja
Urban Box Packers And Movers,"1302, Bldg No.8 Neelsidhi Amarante Plot No-4, Sector 9E, Roadpali, Kalamboli, Panvel, Navi Mumbai, Panvel, Maharashtra 410218, India",,Roadpali,Panvel,Maharashtra,410218,9594930551,4.6,22,"transportation_service, manufacturer, point_of_interest, establishment",19.0371405,73.1031407,localisy011983,ChIJZVHIyUDp5zsR5nBX7X1w73c,photos\localisy02490_1.jpg,,,,,Home Services,Movers & Packers,Taloja
Nice India Packers And Movers,"Shop No.3, Isha Complex, Plot No 76/77, opposite Vidyapeeth International Institute, Sector-19, Kharghar, Panvel, Maharashtra 410210, India",,Kharghar,Panvel,Maharashtra,410210,9819998034,5,243,"moving_company, storage, shipping_service, transportation_service, manufacturer, service, store, point_of_interest, establishment",19.049104,73.0775815,localisy011984,ChIJ41CbkdHD5zsR8MMlgMEkPqY,photos\localisy12464_1.jpg,,,,,Home Services,Movers & Packers,Taloja
Jio Packers and Movers,"Shop No 3, Gold Crest Apartments, Plot No 44/A, near Football Stadium, Sector-34 A, Parsi, Kharghar, Panvel, Maharashtra 410210, India",,Kharghar,Panvel,Maharashtra,410210,9930646209,4.8,784,"transportation_service, point_of_interest, establishment",19.0697609,73.0820805,localisy011985,ChIJr8Jvq6HB5zsR0nvSS8yWwjY,photos\localisy02521_1.jpg,,,,,Home Services,Movers & Packers,Taloja
Anjana Packers And Movers,"Shop No 365, near Jalvayu Phase II Road, Sector 20, Kharghar, Panvel, Maharashtra 410210, India",,Kharghar,Panvel,Maharashtra,410210,8693865953,5,10,"transportation_service, point_of_interest, establishment",19.048736299999998,73.0733323,localisy011986,ChIJ5aDB6WrD5zsRE7yzZuCJXRA,photos\localisy12474_1.jpg,,,,,Home Services,Movers & Packers,Taloja
Singh Packers and Movers,"Shop No. 3, Skyline Residency, Plot no. 1B/4, Sector-34 A, Parsi, Kharghar, Panvel, Maharashtra 410210, India",,Kharghar,Panvel,Maharashtra,410210,9987380858,4.7,731,"moving_company, storage, transportation_service, manufacturer, point_of_interest, service, establishment",19.0703663,73.0832042,localisy011987,ChIJxRKRb_HB5zsRDjFIrNMbkAM,photos\localisy02725_1.jpg,,,,,Home Services,Movers & Packers,Taloja
Packers and Movers in Roadpali,"Shop No 02, Roadpali Rd, near Packers and Movers in, Roadpali, Kalamboli, Panvel, Navi Mumbai, Panvel, Maharashtra 410218, India",,Roadpali,Panvel,Maharashtra,410218,8433649541,5,2,"transportation_service, point_of_interest, establishment",19.039941900000002,73.0956345,localisy011988,ChIJf05Y_DXp5zsRw-J2e_dP1wo,,,,,,Home Services,Movers & Packers,Taloja
Choudhary Packers And Movers,"204, Building No 2, Ttc Sector 1, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,8003033015,,,"transportation_service, point_of_interest, establishment",19.0818533,73.1309009,localisy011989,ChIJX5PVoIjr5zsRAwso6AqC82o,photos\localisy02729_1.jpg,,,,,Home Services,Movers & Packers,Taloja
Link India Packers and Movers,"Shop No 2, Shree Trimurti Heights, Plot No 23, Sector-34 A, Sector 34, Kharghar, Panvel, Maharashtra 410210, India",,Kharghar,Panvel,Maharashtra,410210,8879694359,4.8,343,"transportation_service, moving_company, storage, store, manufacturer, point_of_interest, service, establishment",19.0689417,73.0806795,localisy011990,ChIJsUdmWGrB5zsRMQV9TFQjAbA,photos\localisy24884_1.jpg,,,,,Home Services,Movers & Packers,Taloja
OneTen Packers and Movers | Packers And Movers in Kharghar,"Shop No -07, Nandini CHS, Plot-11D, Sector 20, Kharghar, Navi Mumbai, Panvel, Maharashtra 410210, India",,Kharghar,Panvel,Maharashtra,410210,8652192110,5,6,"moving_company, storage, shipping_service, transportation_service, manufacturer, point_of_interest, service, establishment",19.0481232,73.07087969999999,localisy011991,ChIJn2gbKQvD5zsRtmsYD1BEbhw,photos\localisy15365_1.jpg,,,,,Home Services,Movers & Packers,Taloja
Unique Express Packers and Movers,"Shop No 5, City View, Plot No 128, Owe Village, Sector 30, Kharghar, Navi Mumbai, Panvel, Maharashtra 410210, India",,Kharghar,Panvel,Maharashtra,410210,9137552613,4.7,419,"transportation_service, moving_company, storage, shipping_service, store, point_of_interest, service, establishment",19.0650519,73.07128089999999,localisy011992,ChIJYSeWzPPB5zsR597yp0yiQj4,photos\localisy02517_1.jpg,,,,,Home Services,Movers & Packers,Taloja
Sai Packers & Movers,"403, Fortune Palace, 403, Sector 34-B, Sector 34, Kharghar, Panvel, Maharashtra 410210, India",,Kharghar,Panvel,Maharashtra,410210,9820112289,4.8,87,"moving_company, storage, transportation_service, shipping_service, point_of_interest, service, establishment",19.0689442,73.08047789999999,localisy011993,ChIJ0wIarQXB5zsRh1d75hyxIk8,photos\localisy15367_1.jpg,,,,,Home Services,Movers & Packers,Taloja
Reloright packers and movers,"shop1, plot, 39/18, Block G, Sector 12, Kharghar, Panvel, Maharashtra 410210, India",,Kharghar,Panvel,Maharashtra,410210,,4.9,9,"manufacturer, point_of_interest, establishment",19.0433669,73.0680928,localisy011994,ChIJU5WcBbLD5zsRdFYSuy-LeE8,photos\localisy02740_1.jpg,,,,,Home Services,Movers & Packers,Taloja
Sunrise Packers & Movers,"Shop no. 1, Mahikripa CHS, Plot no. 67, Ranjanpada, Sector 27, Kharghar, Panvel, Maharashtra 410210, India",,Kharghar,Panvel,Maharashtra,410210,9321581135,4.9,199,"point_of_interest, establishment",19.0598635,73.0812799,localisy011995,ChIJU6gxa27B5zsRrgtpfYr3S7Y,photos\localisy12457_1.jpg,,,,,Home Services,Movers & Packers,Taloja
Hare krishna packers and movers,"Bema Office Complex, A-4017, Steel Market Rd, Sector AWC, Kalamboli, Panvel, Maharashtra 410218, India",,Roadpali,Panvel,Maharashtra,410218,,4.9,37,"transportation_service, manufacturer, point_of_interest, establishment",19.0270668,73.1068837,localisy011996,ChIJZ3dUreLp5zsR3FlWse9_t10,photos\localisy02480_1.jpg,,,,,Home Services,Movers & Packers,Taloja
Sai Ram Packers & Movers,"office no A303, plot 12/13, opposite zudio, Sector 8E, Kalamboli, Panvel, kamboli, Panvel, Maharashtra 410218, India",,Roadpali,Panvel,Maharashtra,410218,,4.7,29,"courier_service, shipping_service, point_of_interest, service, establishment",19.0359572,73.10440179999999,localisy011997,ChIJM9958Hnp5zsRwB2Td0idyNU,photos\localisy02503_1.jpg,,,,,Home Services,Movers & Packers,Taloja
V Move Packers And Movers,"Shop ,22, Bhagwati Greens Central Park, Central Park Road, Owe Village, Sector 35E, Kharghar, Navi Mumbai, Panvel, Maharashtra 410210, India",,Kharghar,Panvel,Maharashtra,410210,9350672954,5,2,"moving_company, storage, transportation_service, shipping_service, manufacturer, point_of_interest, service, establishment",19.0665495,73.0722554,localisy011998,ChIJkbr2P6LB5zsRtDXRhFVaheo,photos\localisy02745_1.jpg,,,,,Home Services,Movers & Packers,Taloja
Sai Baba Packers And Movers,"404 juhi Apartment, plot 63A, Varad Vinayak Gas Agency, sec.6A, Jui-Kamothe Sector - 36, Sector 6A, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,9896459492,4.8,18,"manufacturer, point_of_interest, service, establishment",19.023204099999997,73.0915423,localisy011999,ChIJ-2C88Yvp5zsRIJQ07cN-vhI,photos\localisy12479_1.jpg,,,,,Home Services,Movers & Packers,Taloja
CARAVAN CARGO MOVERS AND PACKERS IN ROAD PALI,"Shop Number 6, Saraswati Pride Building, Roadpali, Kalamboli Link Rd, Roadpali, Kalamboli, Panvel, Maharashtra 410218, India",,Roadpali,Panvel,Maharashtra,410218,,4.6,9,"transportation_service, shipping_service, point_of_interest, service, establishment",19.0415293,73.1019965,localisy012000,ChIJJ5R7o77p5zsRByOFOUN8Cv8,photos\localisy08568_1.jpg,,,,,Home Services,Movers & Packers,Taloja
TMT Logistics packers and movers,"Shop no. 5, City view, plot no. 127/128, Owe Village, Sector 30, Kharghar, Navi Mumbai, Panvel, Maharashtra 410210, India",,Kharghar,Panvel,Maharashtra,410210,9222244397,5,18,"transportation_service, storage, shipping_service, point_of_interest, service, establishment",19.0651202,73.0710275,localisy012001,ChIJn2C6563B5zsRd0Hhm1-hTT4,photos\localisy24885_1.jpg,,,,,Home Services,Movers & Packers,Taloja
Om Sai Packers And Movers,"Office C-135, Steel Chamber, near Telephone Exchange, Sector AWC, Kalamboli, Panvel, Maharashtra 410218, India",,Roadpali,Panvel,Maharashtra,410218,9076136620,5,8,"transportation_service, manufacturer, point_of_interest, establishment",19.028885,73.1065648,localisy012002,ChIJ1URIi0bp5zsRTAYLp-YEUHA,photos\localisy02479_1.jpg,,,,,Home Services,Movers & Packers,Taloja
PACKERS AND MOVERS NAVI MUMBAI,"15, near ARIHANT KRUPA, Ranjanpada, Sector 27, Kharghar, Panvel, Maharashtra 410210, India",,Kharghar,Panvel,Maharashtra,410210,9594968266,1,1,"transportation_service, point_of_interest, establishment",19.0583937,73.08136879999999,localisy012003,ChIJ-cSkflfB5zsRRrhgn8vXLJw,,,,,,Home Services,Movers & Packers,Taloja
Super Fast Movers And Packers Pvt Ltd,"Shop No. 08, Plot No. 32, near Vithal mandir, Sector 09, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,,5,99,"moving_company, storage, transportation_service, shipping_service, store, point_of_interest, service, establishment",19.019994,73.095775,localisy012004,ChIJI2_RIwTp5zsRdoJDF5wg_G4,photos\localisy02475_1.jpg,,,,,Home Services,Movers & Packers,Taloja
Roshni Packers and Movers,"Riddhi Arcade, E - 203, Steel Market Rd, Sector 10, Kalamboli, Panvel, Maharashtra 410218, India",,Roadpali,Panvel,Maharashtra,410218,7400066667,5,49,"storage, transportation_service, shipping_service, manufacturer, store, point_of_interest, service, establishment",19.032341,73.1061,localisy012005,ChIJKYqyYQbp5zsRmLPvjWuGsbs,photos\localisy02500_1.jpg,,,,,Home Services,Movers & Packers,Taloja
Unicorn Express Packers And Movers,"Shop 4, Patel Paradise, CISF Rd, Owe Village, Sector 35E, Kharghar, Panvel, Maharashtra 410210, India",,Kharghar,Panvel,Maharashtra,410210,9209230219,4.7,3,"transportation_service, moving_company, storage, shipping_service, manufacturer, point_of_interest, service, establishment",19.0665534,73.0722088,localisy012006,ChIJA-G_HSHB5zsRG6mTL58ymeY,photos\localisy02757_1.jpg,,,,,Home Services,Movers & Packers,Taloja
N S ENGINEERS AND CONTRACTORS,"005, Ravriya Complex, sec. 10, Petali, Taloja Panchanand, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,9323858122,,,"point_of_interest, service, establishment",19.0785643,73.09046959999999,localisy012007,ChIJddLwiErr5zsRWQyizKIc_Pw,photos\localisy02562_1.jpg,,,,,Home Services,Waterproofing Services,Taloja
SHIWANGI HOME TECHNICAL SERVICE,"Arihant Anaika Wing-B3, Arihant Anaika, Koyana Velhe, Ghotkamp Koyana Vele, Taloja, Navi Mumbai, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,,,,"general_contractor, point_of_interest, service, establishment",19.0818133,73.112693,localisy012008,ChIJ2ckEQyrr5zsR-JTPMT-dmFs,photos\localisy02770_1.jpg,,,,,Home Services,Waterproofing Services,Taloja
Magleno Engineering and Contractor,"Taloja Phase 02 Rd, Sector 19, Taloja Panchanand, Taloja Phase 2, Taloja, Panvel, Navi Mumbai, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,,5,1,"point_of_interest, service, establishment",19.070244,73.09513179999999,localisy012009,ChIJOdu4847r5zsRg9zCAG0DQEc,photos\localisy02773_1.jpg,,,,,Home Services,Waterproofing Services,Taloja
Seva Realtors,"Level 4, Office No.2, Asawari Gruhsankul, Plot No.1, Sector 27, Taloja Panchanand, Taloja Phase 2, Taloja, Navi Mumbai, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,7891626222,5,23,"general_contractor, point_of_interest, service, establishment",19.070549099999997,73.102425,localisy012010,ChIJKZqVJQDr5zsRo_ZQhEFy-ec,photos\localisy02774_1.jpg,,,,,Home Services,Waterproofing Services,Taloja
Naman Construction Builder and Contractors,"Shop No. 1, Rudra Enclave, Plot no. 126, Sector R5, Sector AWC, Karanjade, Panvel, Maharashtra 410218, India",,Roadpali,Panvel,Maharashtra,410218,7977996645,5,11,"point_of_interest, service, establishment",19.031831399999998,73.1054544,localisy012011,ChIJcSB1Pv7p5zsRQ-4zFPT1fQY,photos\localisy02542_1.jpg,,,,,Home Services,Waterproofing Services,Taloja
Phinix Infra,"Shop No-11, Anand Vatika, Plot No- 22, Sector 6, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,7020920846,4.9,133,"general_contractor, transportation_service, point_of_interest, service, establishment",19.0221314,73.09520049999999,localisy012012,ChIJlVOIX7jB5zsRL7Pq7oaD5TM,photos\localisy02546_1.jpg,,,,,Home Services,Waterproofing Services,Taloja
Sai Enterprises | Shed contractor | Roof Shed contractor | Terrace Roof shed Fabricator |balcony shed Kharghar Navi Mumbai,"A 101, plot no 17 18, Rekhi Sai Daffodils Cooperative Housing Society, Sector-19, Kharghar, Panvel, Maharashtra 410210, India",,Kharghar,Panvel,Maharashtra,410210,9323848485,4.9,35,"roofing_contractor, building_materials_store, general_contractor, manufacturer, store, point_of_interest, service, establishment",19.0514989,73.0731069,localisy012013,ChIJZQ-MBRzC5zsRtSc_dtsC2Hk,photos\localisy02566_1.jpg,,,,,Home Services,Waterproofing Services,Taloja
FAISAL ROOFING SOLUTION INDIA PVT. LTD.,"Balaji Industrial Park, A-19 To 22 Village Tondra, behind Hindalco Limited, Tondare, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,7208861646,4.8,922,"manufacturer, roofing_contractor, point_of_interest, service, establishment",19.070205899999998,73.1277539,localisy012014,ChIJbb4mYC7q5zsRpg5G-8b2Eck,photos\localisy02795_1.jpg,,,,,Home Services,Waterproofing Services,Taloja
Earth Infra,"Office No 2, Galaxy Avenue, plot no 88, Tal, Phase II, Sector 22, Kamothe, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,9702443244,5,2,"roofing_contractor, plumber, general_contractor, point_of_interest, service, establishment",19.0143839,73.10109059999999,localisy012015,ChIJVSgUuOrp5zsRK7r3UGi4XA0,photos\localisy02543_1.jpg,,,,,Home Services,Waterproofing Services,Taloja
TRISHA CONSTRUCTION,"Taloja, Panvel, Kanpoli, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,,4.9,18,"point_of_interest, service, establishment",19.061697499999998,73.1380743,localisy012016,ChIJp4819Z_p5zsRDOGN6U3Av14,,,,,,Home Services,Waterproofing Services,Taloja
Pidilite Taloja Training Centre,"19, MIDC, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,,4.5,22,"point_of_interest, establishment",19.0568673,73.11249029999999,localisy012017,ChIJV8uZIYvp5zsRbGdIaK4lPVU,photos\localisy02805_1.jpg,,,,,Home Services,Waterproofing Services,Taloja
D S PAWAR CONSTRUCTION CIVIL CONTRACTOR & INTERIORS,"Shiv, Sai CHS, plot no.C/6, Sector 12, Kharghar, Panvel, Maharashtra 410210, India",,Kharghar,Panvel,Maharashtra,410210,9619421947,4.9,17,"general_contractor, point_of_interest, service, establishment",19.04143,73.0651756,localisy012018,ChIJM7u_S33D5zsR9WS5evU8j-g,photos\localisy02808_1.jpg,,,,,Home Services,Waterproofing Services,Taloja
SURI ENTERPRISES,"SURI HIGHTS, Kopra Village Rd, Sector 10, Kharghar, Panvel, Maharashtra 410210, India",,Kharghar,Panvel,Maharashtra,410210,,5,3,"general_contractor, point_of_interest, service, establishment",19.034535599999998,73.0727143,localisy012019,ChIJ8SzgzljD5zsRkE0lKV9K36Q,photos\localisy02809_1.jpg,,,,,Home Services,Waterproofing Services,Taloja
Floor Coats Chem Pvt. Ltd.| Epoxy Flooring Manufacturing and Application,"R-42, T-2, Balaji Industrial Park, MIDC, Behind Hindlaco Water Tank, Vill-Tondare, MIDC Rd, Industrial Area, Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,9702268654,4.8,27,"general_contractor, point_of_interest, service, establishment",19.0742179,73.1272544,localisy012020,ChIJCfR66Evv0q4RoWWrqBEJw4M,photos\localisy02811_1.jpg,,,,,Home Services,Waterproofing Services,Taloja
The Castle - Civil and Renovation Contractors,"Block B, Girikunj CHS, 24, opp. Sai Baba temple, Sector 12, Kharghar, Panvel, Maharashtra 410210, India",,Kharghar,Panvel,Maharashtra,410210,9004479370,5,16,"general_contractor, point_of_interest, service, establishment",19.039057,73.064819,localisy012021,ChIJixZOxznD5zsRg2H-FNI8xiU,photos\localisy02813_1.jpg,,,,,Home Services,Waterproofing Services,Taloja
Prateek Enterprises,"Taloja, Panvel, Maharashtra 410208, India",,Taloja,Panvel,Maharashtra,410208,9508855104,,,"point_of_interest, establishment",19.0630113,73.120891,localisy012022,ChIJWYb69ofr5zsRMd8twcNixMw,photos\localisy02814_1.jpg,,,,,Home Services,Waterproofing Services,Taloja
HOME ASENTS PROFESSIONAL PAINTING SERVICES,"Sector 20, Kamothe, Panvel, Navi Mumbai, Panvel, Maharashtra 410209, India",,Kamothe,Panvel,Maharashtra,410209,,5,6,"point_of_interest, establishment",19.016622299999998,73.0966019,localisy012023,ChIJP-dslmHp5zsRh_-aHs7KMhM,photos\localisy12008_1.jpg,,,,,Home Services,Waterproofing Services,Taloja
